input_location,latitude,longitude,bbl,fireBattalion,censusTract2010
23 W 118 ST,40.8023849088617,-73.94646655684186,1017170021,12, 190  
807 SCHENCK AVE,40.660604739718245,-73.8835082736363,3043550001,39,1110  
572 ROCKAWAY AVE,40.6660877498444,-73.90982684928889,3035430039,44, 924  
572 ROCKAWAY AVE,40.6660877498444,-73.90982684928889,3035430039,44, 924  
609 WOODWARD AVE,40.70604989653263,-73.90763036454219,4033920006,45, 589  
609 WOODWARD AVE,40.70604989653263,-73.90763036454219,4033920006,45, 589  
201-05 34 AVE,40.767004247854686,-73.78673790370178,4060810032,53,1099  
130-03 HILLSIDE AVE,40.86014733262925,-73.92641389208852,1021730015,13, 283  
130-03 HILLSIDE AVE,40.86014733262925,-73.92641389208852,1021730015,13, 283  
605 W 42 ST,40.760960070729254,-73.99861746470174,1010907502,09, 129  
189 E 18TH ST,40.73596552021072,-73.98575404204111,NA,06,  50  
189 E 18TH ST,40.73596552021072,-73.98575404204111,NA,06,  50  
119-14 180 ST,40.68704350077656,-73.76409704464385,4124650001,50, 368  
1995 HYLAN BLVD,40.58139055633135,-74.09826690802619,5035590001,21, 11401
214 PENN ST,40.70391554601337,-73.95566688617116,3022190031,31, 533  
2888 EXTERIOR ST,40.87567861714218,-73.90617974570443,2032640001,19, 283  
13-51 BAY 28 ST,40.602394535827926,-73.99575781030579,NA,42, 290  
128 LEWIS AVE,40.69299916698183,-73.93705598448567,3016010024,57, 281  
128 LEWIS AVE,40.69299916698183,-73.93705598448567,3016010024,57, 281  
568 W 192 ST,40.855960053388046,-73.92821513508967,1021610110,13, 277  
803 VANSINDEREN AV,40.656480069094236,-73.89878966080373,3038730112,58,1098  
568 W 192 ST,40.855960053388046,-73.92821513508967,1021610110,13, 277  
3140 GODWIN TER,40.88008022002633,-73.90509951645531,2057050025,19, 289  
3140 GODWIN TER,40.88008022002633,-73.90509951645531,2057050025,19, 289  
W 72 ST,NA,NA,NA,NA,NA
140 CITY ISLAND AVE,40.84207411458148,-73.78454921223998,2056410090,20, 516  
140 CITY ISLAND AVE,40.84207411458148,-73.78454921223998,2056410090,20, 516  
148-37 88 AVE,40.7052703940327,-73.80773911548664,4096940049,50, 238  
148-37 88 AVE,40.7052703940327,-73.80773911548664,4096940049,50, 238  
1122 EASTERN PKWY,40.668814586178236,-73.93158153812479,3013960040,38, 351  
42-95 MAIN ST,40.70265837133581,-73.99070219594195,3000367502,32,  21  
42-95 MAIN ST,40.70265837133581,-73.99070219594195,3000367502,32,  21  
1861 LURTING AVE,40.85031370469762,-73.8547471586621,2041290012,20, 254  
1861 LURTING AVE,40.85031370469762,-73.8547471586621,2041290012,20, 254  
323 STAGG ST,40.71020284953496,-73.93612355995263,3030300030,28, 485  
301 FRANKLIN AVE,40.68933035815149,-73.95700715157628,3019410052,57, 233  
301 FRANKLIN AVE,40.68933035815149,-73.95700715157628,3019410052,57, 233  
20 BERRY ST,40.721814114018464,-73.95560086545957,3022830031,35, 557  
20 BERRY ST,40.721814114018464,-73.95560086545957,3022830031,35, 557  
18-15 215 ST,40.783752115003914,-73.77630263729182,4059380007,53, 99703
953 POST AVE,40.631975691118406,-74.13255338303287,5010270030,22, 213  
953 POST AVE,40.631975691118406,-74.13255338303287,5010270030,22, 213  
621 MANIDA ST,40.812586156401174,-73.887906068052,2027650226,03,  93  
621 MANIDA ST,40.812586156401174,-73.887906068052,2027650226,03,  93  
137 VARICK ST,40.72578870492792,-74.00577255619577,1005790070,02,  37  
304 SPRING ST,40.72588737217756,-74.00815374770453,1005947506,02,  37  
225 W 37 ST,40.75328809604155,-73.9901501193094,1007870025,07, 109  
225 W 37 ST,40.75328809604155,-73.9901501193094,1007870025,07, 109  
34-46 97 ST,40.75439362014209,-73.87085573212205,4017300026,49, 375  
34-46 97 ST,40.75439362014209,-73.87085573212205,4017300026,49, 375  
588 MARCY AVE,40.694528448089116,-73.94904861830562,3017580046,57, 253  
600 W 163 ST,40.83788586391807,-73.94236148033954,1021370080,13, 245  
NA,NA,NA,NA,NA,NA
421 UTICA AVE,40.66405512384244,-73.93155397933556,3014250006,38, 355  
40-42 94 ST,40.618192794310886,-74.03819955080884,NA,42,  54  
421 UTICA AVE,40.66405512384244,-73.93155397933556,3014250006,38, 355  
40-42 94 ST,40.618192794310886,-74.03819955080884,NA,42,  54  
2571 E 22 ST,40.58947383898871,-73.94751215666044,3074410449,43, 59401
212-10 99 AVE,40.71424519495717,-73.74647320697915,4110850025,53, 540  
212-10 99 AVE,40.71424519495717,-73.74647320697915,4110850025,53, 540  
60 S 8 ST,40.70988653399697,-73.96722330914295,3021357508,35, 547  
60 S 8 ST,40.70988653399697,-73.96722330914295,3021357508,35, 547  
60 S 8 ST,40.70988653399697,-73.96722330914295,3021357508,35, 547  
133-45 41 AVE,40.757854222733144,-73.8302519671535,4050377507,52, 871  
110-51 FARMERS BLVD,40.70206641255964,-73.7658038939765,4109490080,54, 524  
321 EUCLID AVE,40.68023563603289,-73.87334284544778,3041630004,39,1178  
321 EUCLID AVE,40.68023563603289,-73.87334284544778,3041630004,39,1178  
572 WARREN ST,40.68202225094756,-73.98255308335538,3004010001,31, 127  
572 WARREN ST,40.68202225094756,-73.98255308335538,3004010001,31, 127  
525 W 238 ST,40.88839414268858,-73.90882728919159,2057970213,27, 295  
525 W 238 ST,40.88839414268858,-73.90882728919159,2057970213,27, 295  
6005 5 AVE,40.63937129536379,-74.01626473312574,3057830008,40, 122  
1625 FULTON ST,40.67963123657403,-73.93544619373269,3016840001,37, 273  
1625 FULTON ST,40.67963123657403,-73.93544619373269,3016840001,37, 273  
34-53 107 ST,40.75499744357804,-73.86139062594259,4017490063,49, 381  
34-53 107 ST,40.75499744357804,-73.86139062594259,4017490063,49, 381  
4360 BAYCHESTER AVE,40.89817215294371,-73.84565742389341,2050570027,15, 444  
4360 BAYCHESTER AVE,40.89817215294371,-73.84565742389341,2050570027,15, 444  
1623 3RD AVE,40.78209812135834,-73.95158145702187,1015377501,10, 154  
1623 3RD AVE,40.78209812135834,-73.95158145702187,1015377501,10, 154  
47 MCKEEVER PL,40.664976712758815,-73.95903058778437,3013020001,38, 325  
NA,NA,NA,NA,NA,NA
952 ROGERS PL,40.82253401490253,-73.89783254981558,2026990072,26, 12901
109-15 MERRICK BLVD,40.697150723011625,-73.7841592468189,4102620011,50, 414  
952 ROGERS PL,40.82253401490253,-73.89783254981558,2026990072,26, 12901
952 ROGERS PL,40.82253401490253,-73.89783254981558,2026990072,26, 12901
952 ROGERS PL,40.82253401490253,-73.89783254981558,2026990072,26, 12901
W 49 ST,NA,NA,NA,NA,NA
860 GRAND CONCOURSE,40.82627536296195,-73.92293922582886,2024590030,14,  5902
W 49 ST,NA,NA,NA,NA,NA
860 GRAND CONCOURSE,40.82627536296195,-73.92293922582886,2024590030,14,  5902
225 PARKHILL AVE,40.61384645852344,-74.0825388036525,5029220150,21,  40  
225 PARK HILL AVE,40.61384645852344,-74.0825388036525,5029220150,21,  40  
625 HEMLOCK ST,40.67369776837977,-73.86861824713402,3042530006,39,1200  
64-01 GATES AVE,40.68448322272784,-73.9655519742744,3019780017,31, 199  
87 WYHTE AVE,NA,NA,NA,NA,NA
530 ELLSWORTH AVE,40.825460880590235,-73.81489658615212,2054887501,20, 160  
217 W 123 ST,40.808013215880095,-73.95007794752009,1019290023,11, 222  
217 W 123 ST,40.808013215880095,-73.95007794752009,1019290023,11, 222  
47 W 130 ST,40.81022414685693,-73.94144620510986,1017280015,16, 208  
1749 ALBANY AVE,40.63065685904315,-73.93682656681032,3077450014,41, 726  
1749 ALBANY AVE,40.63065685904315,-73.93682656681032,3077450014,41, 726  
1908 CROTONA AVE,40.84459875929907,-73.89180254808561,2029500042,18, 36901
506 BROOK AVE,40.814014962087555,-73.91547527401987,2022740006,14,  43  
1575 E 174 ST,40.83385272043897,-73.87758200363538,2038860002,18,  62  
506 BROOK AVE,40.814014962087555,-73.91547527401987,2022740006,14,  43  
26 JEWETT AVE,40.6368738885912,-74.1288267556429,5010120088,22, 207  
13-23 MCBRIDE ST,40.60638187913802,-73.75732690483673,4156630111,47,103201
13-23 MCBRIDE ST,40.60638187913802,-73.75732690483673,4156630111,47,103201
241 LEFFERTS AVE,40.662226878134724,-73.95298768067615,3013200077,38, 329  
1239 BROADWAY,40.74713420863879,-73.98839705341038,1008320001,07,  76  
241 LEFFERTS AVE,40.662226878134724,-73.95298768067615,3013200077,38, 329  
1239 BROADWAY,40.74713420863879,-73.98839705341038,1008320001,07,  76  
4632 3 AVE,40.85633433841269,-73.89097009711864,2030550047,18, 387  
78 VANDUZER ST,40.63635742987702,-74.07724139212611,5004990025,21,  21  
78 VANDUZER ST,40.63635742987702,-74.07724139212611,5004990025,21,  21  
5710 PRESTON CT,40.639258498496126,-73.92250302783299,3079320266,58, 94401
4632 3 AVE,40.85633433841269,-73.89097009711864,2030550047,18, 387  
5710 PRESTON CT,40.639258498496126,-73.92250302783299,3079320266,58, 94401
5710 PRESTON CT,40.639258498496126,-73.92250302783299,3079320266,58, 94401
108-28 37 DR,40.7533369708174,-73.85921042777376,4017780009,46, 401  
3900 GREYSTONE AVCE,NA,NA,NA,NA,NA
3900 GREYSTONE AVCE,NA,NA,NA,NA,NA
90 ELIZABETH ST,40.718254415741356,-73.995923593053,1002390011,04,  41  
415 LIVERMORE AVE,40.61357720013701,-74.13962317590996,5004680004,22, 18901
415 LIVERMORE AVE,40.61357720013701,-74.13962317590996,5004680004,22, 18901
415 LIVERMORE AVE,40.61357720013701,-74.13962317590996,5004680004,22, 18901
2079 CEDAR AVE,40.859812423687025,-73.9143976051529,2032330101,19, 257  
2079 CEDAR AVE,40.859812423687025,-73.9143976051529,2032330101,19, 257  
107-04 PINEGROVE ST,40.690274792849195,-73.80556831061322,4100720007,50, 198  
107-04 PINEGROVE ST,40.690274792849195,-73.80556831061322,4100720007,50, 198  
70-15 65 PL,40.703616500909305,-73.89025328957442,4036450044,51, 579  
144-62 175 ST,40.665494610296115,-73.7738696267412,4132830125,54, 306  
144-62 175 ST,40.665494610296115,-73.7738696267412,4132830125,54, 306  
1143 ROGERS AVE,40.64203016175187,-73.95152815279936,3051930065,41, 828  
1143 ROGERS AVE,40.64203016175187,-73.95152815279936,3051930065,41, 828  
159-20 HARLEM RIVER DRIVE,40.832546472789794,-73.93543153557164,1021060320,16, 24302
1133 MORRISON AVE,40.82753065876559,-73.8741211884749,2037440029,03,  48  
1133 MORRISON AVE,40.82753065876559,-73.8741211884749,2037440029,03,  48  
560 WASHINGTON AVE,40.68219105487687,-73.96461933665259,3020120049,57, 199  
515 WASHINGTON AVE,40.6826137686214,-73.9646804060812,3020130028,57, 201  
969 1ST AVE,40.75595098801416,-73.96465595827033,1013460025,08,  98  
10 GRACIE SQ,40.77329829594318,-73.94502049722576,1015900030,10, 136  
80-08 45 AVE,40.741409077427,-73.88460838408898,4015330036,46, 481  
80-08 45 AVE,40.741409077427,-73.88460838408898,4015330036,46, 481  
7101 BAY PKWY,40.61003793998949,-73.98537753634382,3065950005,42, 430  
7101 BAY PKWY,40.61003793998949,-73.98537753634382,3065950005,42, 430  
908 E 227 ST,40.88718970144969,-73.85334290643223,2048620059,15, 404  
1173 WORTHEN ST,40.813296147346975,-73.89273852325647,2027360297,03,  93  
1160 WORTHEN ST,40.81342813219542,-73.8929948052277,2027360202,03,  93  
1160 WORTHEN ST,40.81342813219542,-73.8929948052277,2027360202,03,  93  
147-38 ASH AVE,40.758966685275176,-73.81647830951876,4053780021,52,1187  
95-29 SUTPHIN BLVD,40.69821945844222,-73.80633132862629,4100270129,50, 208  
147-38 ASH AVE,40.758966685275176,-73.81647830951876,4053780021,52,1187  
1210 CROES AVE,40.82972538646341,-73.8706950639468,2037490001,03,  68  
1210 CROES AVE,40.82972538646341,-73.8706950639468,2037490001,03,  68  
27 N 6 ST,40.72000233356387,-73.96265841045447,3023247501,35, 555  
219 SACKMAN ST,40.6726169611022,-73.90563625264704,3036940009,44, 908  
219 SACKMAN ST,40.6726169611022,-73.90563625264704,3036940009,44, 908  
74-41 260 ST,40.748798285933134,-73.7144732610005,4085170002,53,155102
74-41 260 ST,40.748798285933134,-73.7144732610005,4085170002,53,155102
59 VANDAM ST,40.726516030493315,-74.00643286251984,1005800022,02,  37  
59 VANDAM ST,40.726516030493315,-74.00643286251984,1005800022,02,  37  
1211 LORING AVE,40.66717396030697,-73.86669538337557,3044860001,39,1214  
1211 LORING AVE,40.66717396030697,-73.86669538337557,3044860001,39,1214  
130-39 176 PL,40.67896117121535,-73.76595714109182,4125370102,50, 33401
584 RUGBY RD,40.63545009019272,-73.96429102758573,3051990030,41, 520  
584 RUGBY RD,40.63545009019272,-73.96429102758573,3051990030,41, 520  
521 W 207 ST,40.86519028520117,-73.919596875939,1022230030,13, 293  
521 W 207 ST,40.86519028520117,-73.919596875939,1022230030,13, 293  
521 W 207 ST,40.86519028520117,-73.919596875939,1022230030,13, 293  
162 W 56 ST,40.7645704056048,-73.97989258717313,1010087502,09, 137  
21-45 32 ST,40.65882457603808,-74.00583163762613,NA,40,  18  
21-45 32 ST,40.65882457603808,-74.00583163762613,NA,40,  18  
2310 BEAUMONT AVE,40.85245057826213,-73.8853049663119,2031030008,18, 391  
2310 BEAUMONT AVE,40.85245057826213,-73.8853049663119,2031030008,18, 391  
1107 E 229 ST,40.886846615974804,-73.84700015831619,2049050001,15, 458  
1107 E 229 ST,40.886846615974804,-73.84700015831619,2049050001,15, 458  
251-11 MEMPHIS AVE,40.66058291085798,-73.7335357437035,4135930004,54, 660  
251-11 MEMPHIS AVE,40.66058291085798,-73.7335357437035,4135930004,54, 660  
203 W 112 ST,40.80076902245703,-73.95463077765208,1018287502,11, 216  
203 W 112 ST,40.80076902245703,-73.95463077765208,1018287502,11, 216  
78 CIRCLE RD,40.59757748819009,-74.10656925088892,5008670101,21, 177  
442 ARIZONA DR,NA,NA,NA,NA,NA
36-21 193 ST,40.76348742428842,-73.78928692434827,4053157501,53,1139  
442 ARIZONA DR,NA,NA,NA,NA,NA
445 W 240 ST,40.88836021974989,-73.90421969481538,2057807501,27, 335  
121 FORT GEORGE AVE,40.85746338224337,-73.92699164532567,1021490265,13, 277  
121 FORT GEORGE AVE,40.85746338224337,-73.92699164532567,1021490265,13, 277  
121 FORT GEORGE AVE,40.85746338224337,-73.92699164532567,1021490265,13, 277  
8648 21 AVE,40.602347914361836,-73.99703623117173,3063770062,42, 288  
8648 21 AVE,40.602347914361836,-73.99703623117173,3063770062,42, 288  
103 RYERSON ST,40.69461406151953,-73.96519333620132,3018920014,31, 191  
103 RYERSON ST,40.69461406151953,-73.96519333620132,3018920014,31, 191  
373 PARK AVE S,40.74237438827617,-73.98475665783369,1008820003,08,  68  
373 PARK AVE S,40.74237438827617,-73.98475665783369,1008820003,08,  68  
34-13 38 ST,40.756684770059614,-73.9219440969656,4006720018,45, 157  
34-13 38 ST,40.756684770059614,-73.9219440969656,4006720018,45, 157  
IND E ROOSEVELT AVE,NA,NA,NA,NA,NA
2708 E TREMONT AVE,40.842591859334256,-73.84554422669343,2039880031,20, 200  
2708 E TREMONT AVE,40.842591859334256,-73.84554422669343,2039880031,20, 200  
413 E 12 ST,40.729635686807,-73.98262360267323,1004400053,04,  34  
83-29 263 ST,40.73910166762043,-73.7059985465141,4087750055,53,157901
384 STUYVESANT AVE,40.68142144658846,-73.9317596926043,3016800037,37, 297  
234 E 92 ST,40.78203697865947,-73.94980855157418,1015370022,10, 154  
173 SOUTH AVE,40.63549198854334,-74.16619049926472,5012570044,22, 31902
556 CROWN ST,40.665712402918125,-73.9403979649625,3013000037,38, 333  
173 SOUTH AVE,40.63549198854334,-74.16619049926472,5012570044,22, 31902
556 CROWN ST,40.665712402918125,-73.9403979649625,3013000037,38, 333  
47-20 25 AVE,40.76521990405789,-73.90588409906006,4007310046,49, 145  
572 LINCOLN PL,40.671489506911136,-73.9574800804674,3012590005,38, 219  
572 LINCOLN PL,40.671489506911136,-73.9574800804674,3012590005,38, 219  
572 LINCOLN PL,40.671489506911136,-73.9574800804674,3012590005,38, 219  
902 LINDEN BLVD,40.654180388025615,-73.92436336583572,3046820005,58, 864  
1630 E 102 ST,40.6339858435911,-73.883547534067,3083290225,58,1034  
1630 E 102 ST,40.6339858435911,-73.883547534067,3083290225,58,1034  
190-23 111 RD,40.7012729342338,-73.7643424286947,4109500148,54, 524  
190-23 111 RD,40.7012729342338,-73.7643424286947,4109500148,54, 524  
1731 HOBART AVE,40.846251641104466,-73.83066975396669,2041700045,20, 26602
5910 FT HAMILTON PKWY,40.63347653465535,-74.00499355975889,3057080030,42, 116  
1234 SHAKESPEARE AVE,40.83803391164006,-73.9232327902938,2025060033,17, 199  
806 FAIRMOUNT PL,40.84255929703139,-73.88876633698771,2029540029,18, 36502
3461 SEYMOUR AVE,40.87737548218936,-73.84969785087894,2047130001,15, 386  
3461 SEYMOUR AVE,40.87737548218936,-73.84969785087894,2047130001,15, 386  
340 MCGUINNESS BLVD,40.73415596028896,-73.952291046272,3025140002,28, 579  
340 MCGUINNESS BLVD,40.73415596028896,-73.952291046272,3025140002,28, 579  
310 MILFORD ST,40.67161483741871,-73.87636932535897,3040560032,39,1194  
590 W 172 ST,40.84334537541295,-73.93763295913492,1021280008,13, 253  
590 W 172 ST,40.84334537541295,-73.93763295913492,1021280008,13, 253  
486 LENOX AVE,40.81360003613107,-73.94121202802565,1017300068,16, 212  
1960 WILLIAMSBRIDGE RD,40.85338653049724,-73.85376084440992,2042740064,20, 288  
30-14 86 ST,40.62543860441391,-74.03950057030086,3060400032,42,  50  
30-14 86 ST,40.62543860441391,-74.03950057030086,3060400032,42,  50  
260 MADISON AVE,40.75070685955209,-73.98082794461057,1008680016,08,  82  
260 MADISON AVE,40.75070685955209,-73.98082794461057,1008680016,08,  82  
172-30 93 AVE,40.706026486160596,-73.78665526055252,4102190032,50, 444  
172-30 93 AVE,40.706026486160596,-73.78665526055252,4102190032,50, 444  
5A HOUSMAN AVE,40.63705876434016,-74.14850339533716,NA,22, 223  
5A HOUSMAN AVE,40.63705876434016,-74.14850339533716,NA,22, 223  
87-67 112 STREET,40.69695928325403,-73.83616626196032,4093020101,51, 124  
250 E 178 ST,40.85026627608961,-73.90385525501961,2028100026,17, 23502
250 E 178 ST,40.85026627608961,-73.90385525501961,2028100026,17, 23502
930 HALSEY ST,40.6855782949192,-73.91697578346272,3014950013,44, 373  
930 HALSEY ST,40.6855782949192,-73.91697578346272,3014950013,44, 373  
930 HALSEY ST,40.6855782949192,-73.91697578346272,3014950013,44, 373  
479 VAN BUREN ST,40.69166076345657,-73.9293944937232,3016120064,37, 387  
1327 FTELEY AVE,40.83291116975333,-73.87241258846808,2038700057,03,  64  
1327 FTELEY AVE,40.83291116975333,-73.87241258846808,2038700057,03,  64  
8214 3 AVE,40.626207285369986,-74.02995089093324,3060060042,40,  62  
358 MONTGOMERY ST,40.66549861825573,-73.95289886464369,3013050018,38, 321  
358 MONTGOMERY ST,40.66549861825573,-73.95289886464369,3013050018,38, 321  
426 8 ST,40.667134233524045,-73.98033649776863,3010900009,48, 153  
426 8 ST,40.667134233524045,-73.98033649776863,3010900009,48, 153  
2115 ROCKAWAY PKWY,40.63196150515678,-73.8876294114463,3083290225,58,1034  
1600 AVE T,40.601200345624534,-73.95575669560667,3073210001,43, 580  
1600 AVE T,40.601200345624534,-73.95575669560667,3073210001,43, 580  
1002 HANCOCK ST,40.6872107895563,-73.91608673340161,3033940019,37, 397  
1002 HANCOCK ST,40.6872107895563,-73.91608673340161,3033940019,37, 397  
607 E 139 ST,40.80690344804393,-73.91556377440149,2025520055,14,  2702
607 E 139 ST,40.80690344804393,-73.91556377440149,2025520055,14,  2702
369 FLATBUSH AVE,40.67667062214023,-73.97207779962632,3011640003,57, 163  
4052 MURDOCK AVE,40.89217077663561,-73.84052091595107,2049850022,15, 426  
5947 AMBOY,NA,NA,NA,NA,NA
5947 AMBOY,NA,NA,NA,NA,NA
17 HARBOR RD,40.636535305547504,-74.1601796432358,5012270049,22, 223  
17 HARBOR RD,40.636535305547504,-74.1601796432358,5012270049,22, 223  
2376 RYER AVE,40.85930236875324,-73.89807611929075,2031520001,18, 23702
2376 RYER AVE,40.85930236875324,-73.89807611929075,2031520001,18, 23702
166-11 91 AVE,40.70661135225034,-73.79432148806976,4097960047,50, 460  
7420 NEWUTRECHT AVE,NA,NA,NA,NA,NA
7420 NEWUTRECHT AVE,NA,NA,NA,NA,NA
41-25 71 ST,40.636169460152516,-74.03494191779156,NA,40,  34  
41-25 71 ST,40.636169460152516,-74.03494191779156,NA,40,  34  
2856 W 16TH ST,40.57778086732739,-73.98391945833846,3070210032,43, 326  
201 LINDEN BLVD,40.65257004133835,-73.95131146956386,3050850083,38, 820  
1 WASHINGTON SQUARE VILLAGE,40.72911272257353,-73.99750685293887,1005330001,06,  5501
1 WASHINGTON SQUARE VILLAGE,40.72911272257353,-73.99750685293887,1005330001,06,  5501
17 WHITE ST,40.71916561440241,-74.00554831823142,1001780025,01,  33  
60 NORFOLK ST,40.71712027796736,-73.98801268157308,1003460037,04,  1402
1811 AVENUE U,40.59917647465281,-73.95334176123812,3073230044,43, 578  
440 E 105 ST,40.788289762952104,-73.93900985572489,1016960001,10, 162  
509 MADISON AVE,40.7595546586264,-73.97434602823968,1012880051,08, 102  
471 LINDEN BLVD,40.65313094652348,-73.94160210228851,3048590031,38, 814  
471 LINDEN BLVD,40.65313094652348,-73.94160210228851,3048590031,38, 814  
509 MADISON AVE,40.7595546586264,-73.97434602823968,1012880051,08, 102  
393 WARWICK ST,40.67403469603475,-73.88599753663468,3039990005,44,1150  
393 WARWICK ST,40.67403469603475,-73.88599753663468,3039990005,44,1150  
1410 FTELEY AVE,40.8347203759335,-73.87281024615312,2038920010,18,  64  
1410 FTELEY AVE,40.8347203759335,-73.87281024615312,2038920010,18,  64  
389 CRESCENT ST,40.6792723184507,-73.87096154863026,3041700105,39,1190  
389 CRESCENT ST,40.6792723184507,-73.87096154863026,3041700105,39,1190  
160 W 231 ST,40.8782670580823,-73.90309515581207,2032660109,19, 277  
160 W 231 ST,40.8782670580823,-73.90309515581207,2032660109,19, 277  
118-58 229 ST,40.69022126011074,-73.73359399058111,4127650030,54, 606  
53 ST MARKS PL,40.728208960211276,-73.98672985446622,1004500048,04,  38  
53 ST MARKS PL,40.728208960211276,-73.98672985446622,1004500048,04,  38  
255 E 98 ST,40.66156849797562,-73.91909260018585,3035650002,58, 892  
82 DWIGHT ST,40.676141179144,-74.0089083548535,3005570001,32,  85  
543 BEACH 68 ST,40.595982761102825,-73.79749972334056,4160350066,47, 954  
26 W 131 ST,40.810632637003756,-73.94052105914726,1017280050,16, 208  
537 BEACH 68 ST,40.595908639051885,-73.79749274645079,4160350068,47, 954  
26 W 131 ST,40.810632637003756,-73.94052105914726,1017280050,16, 208  
1668 60 ST,40.62390516130776,-73.99039255838781,3055170034,40, 242  
1668 60 ST,40.62390516130776,-73.99039255838781,3055170034,40, 242  
175 W 85ST,40.78662606928596,-73.97459559980331,1012160001,11, 169  
1191 PARK PL,40.67277624785623,-73.93810248956807,3013520080,38, 343  
970 DUMONT AVE,40.668036742967516,-73.88265899695212,3040810119,39,1120  
51-15 VANKLEECK ST,40.736867013170645,-73.882393444491,4024740022,46, 479  
1840 ANTHONY AVE,40.8475735505703,-73.9036531230919,2028030002,17, 23302
1840 ANTHONY AVE,40.8475735505703,-73.9036531230919,2028030002,17, 23302
3080 VOORHIES AVE,40.587970534108656,-73.93327014506072,3088060150,43, 598  
169 CYPRESS AVE,40.80390083968525,-73.91573012701053,2025480042,14,  2701
97-32 126 ST,40.69267337405036,-73.82055893598168,4094680020,50, 154  
97-32 126 ST,40.69267337405036,-73.82055893598168,4094680020,50, 154  
1617 PROSPECT PL,40.672846786134805,-73.92308405712744,3013630062,38, 359  
1617 PROSPECT PL,40.672846786134805,-73.92308405712744,3013630062,38, 359  
117-33 196 ST,40.86827925474313,-73.89389359522384,NA,27, 40303
117-33 196 ST,40.86827925474313,-73.89389359522384,NA,27, 40303
168-36 88 AVE,40.709752321048555,-73.79331987417795,4098200038,50, 460  
NA,NA,NA,NA,NA,NA
100-24 208 ST,40.87815338833019,-73.88130821003651,2033370008,27, 419  
100-24 208 ST,40.87815338833019,-73.88130821003651,2033370008,27, 419  
138 SCHOLES ST,40.708716575088715,-73.94406382490486,3030430015,35, 505  
138 SCHOLES ST,40.708716575088715,-73.94406382490486,3030430015,35, 505  
2031 HUGHES AVE,40.847905457297124,-73.89108511814386,2030690093,18, 373  
88 WITHERS ST,40.71699143960474,-73.94868153129121,3027427502,35, 501  
88 WITHERS ST,40.71699143960474,-73.94868153129121,3027427502,35, 501  
137-17 250 ST,40.66396873112035,-73.7283064764564,4136250019,54, 656  
770 EASTERN PKWY,40.66944114829994,-73.94303695168232,3012710031,38, 337  
6 HECKER ST,40.516315580894705,-74.23903732321325,5080130017,23, 248  
6 HECKER ST,40.516315580894705,-74.23903732321325,5080130017,23, 248  
6 HECKER ST,40.516315580894705,-74.23903732321325,5080130017,23, 248  
108 HECKER ST,40.51666893388476,-74.23938745446692,5080160036,23, 248  
155 W 47 ST,40.7586587735475,-73.98330186067226,1010000011,09, 125  
108 HECKER ST,40.51666893388476,-74.23938745446692,5080160036,23, 248  
140 7 AVE S,40.73473398655153,-74.00217582417487,1006110014,02,  73  
345 SCHENCK AVE,40.67236817544628,-73.8883472147307,3040120005,39,1150  
345 SCHENCK AVE,40.67236817544628,-73.8883472147307,3040120005,39,1150  
140 7 AVE S,40.73473398655153,-74.00217582417487,1006110014,02,  73  
34-43 93 STREET,40.618801971878575,-74.03869698443359,3061040025,42,  5202
60-90 FLUSHING AVE,40.698017437737754,-73.97528211263008,3020290023,31, 211  
115 E 122 ST,40.80281797422513,-73.93969005257601,1017710010,12, 196  
115 E 122 ST,40.80281797422513,-73.93969005257601,1017710010,12, 196  
85-38 109 ST,40.69914715323046,-73.84027580153113,4091980022,51, 128  
85-38 109 ST,40.69914715323046,-73.84027580153113,4091980022,51, 128  
1990 ELLIS AVE,40.831706000888445,-73.85811228962753,2037930039,03,  72  
83-04 PETTIT AVE,40.745334662295164,-73.8824759372575,4015060037,46, 26902
83-04 PETTIT AVE,40.745334662295164,-73.8824759372575,4015060037,46, 26902
409 E 96 ST,40.7831736195561,-73.94452125273348,NA,10, 162  
509 PRESIDENT ST,40.677927568366684,-73.98640096532907,3004400043,48, 119  
409 E 96 ST,40.7831736195561,-73.94452125273348,NA,10, 162  
509 PRESIDENT ST,40.677927568366684,-73.98640096532907,3004400043,48, 119  
85 COOPER ST,40.868364849207794,-73.92206609734144,NA,13, 295  
85 COOPER ST,40.868364849207794,-73.92206609734144,NA,13, 295  
85 COOPER ST,40.868364849207794,-73.92206609734144,NA,13, 295  
3506 WHITEPLAINS RD,40.87761004918769,-73.86634580146504,2046570017,27, 380  
320 VANSICLEN AVE,40.67205976149823,-73.89016101790476,3040090036,39,1152  
320 VANSICLEN AVE,40.67205976149823,-73.89016101790476,3040090036,39,1152  
470 PROSPECT AVE,40.65922686398795,-73.98242568806391,3008700032,48, 169  
2956 BAINBRIDGE AVE,40.87069406578037,-73.88476368337861,2032920079,27, 415  
2956 BAINBRIDGE AVE,40.87069406578037,-73.88476368337861,2032920079,27, 415  
1555 GRANDCONCOURSE,40.842209043174464,-73.91228428654,2028360012,17, 209  
1555 GRANDCONCOURSE,40.842209043174464,-73.91228428654,2028360012,17, 209  
1555 GRANDCONCOURSE,40.842209043174464,-73.91228428654,2028360012,17, 209  
1555 GRANDCONCOURSE,40.842209043174464,-73.91228428654,2028360012,17, 209  
106 E 182 ST,40.85664386577707,-73.90254103945584,2031700081,19, 23704
